transaction_id,date,customer_name,product_line,amount,region,sales_rep
TXN-00041,2024-01-27,Yellowstone Energy,Industrial Products,3994.3,South,Sarah Chen
TXN-00042,2024-01-27,Delta Healthcare,Technical Services,87188.2,South,Laura Wright
TXN-00043,2024-01-27,Quest Manufacturing,Industrial Products,9931.71,Midwest,Amanda Clark
TXN-00044,2024-01-29,Pacific Transport,Technical Services,17816.78,South,Sarah Chen
TXN-00045,2024-01-29,Keystone Materials,Technical Services,1534.54,West,Amanda Clark
TXN-00046,2024-01-29,Summit Construction,Industrial Products,2900.64,Northeast,Laura Wright
TXN-00047,2024-01-30,Canyon Construction,Safety & Compliance,23024.88,Midwest,Amanda Clark
TXN-00048,2024-01-30,Westfield Foods,Technical Services,8881.57,Northeast,Sarah Chen
TXN-00049,2024-01-31,Harbor Foods,Industrial Products,47747.36,Midwest,Sarah Chen
TXN-00050,2024-01-31,Quest Manufacturing,Technical Services,13737.74,West,Amanda Clark
TXN-00051,2024-02-01,Pacific Transport,Technical Services,27128.5,South,Laura Wright
TXN-00052,2024-02-01,Canyon Construction,Safety & Compliance,8897.09,South,Emily Taylor
TXN-00053,2024-02-02,Vanguard Mining,Industrial Products,15453.5,Midwest,Laura Wright
TXN-00054,2024-02-02,Apex Manufacturing,Safety & Compliance,6925.68,South,Amanda Clark
TXN-00055,2024-02-02,Harbor Foods,Industrial Products,3300.93,South,Emily Taylor
TXN-00056,2024-02-02,Falcon Mining,Industrial Products,1187.91,Northeast,Sarah Chen
TXN-00057,2024-02-05,Liberty Healthcare,Industrial Products,6851.27,South,Karen Nelson
TXN-00058,2024-02-06,Gateway Mining,Industrial Products,2666.21,Midwest,Karen Nelson
TXN-00059,2024-02-07,Jupiter Foods,Safety & Compliance,64741.89,South,Amanda Clark
TXN-00060,2024-02-07,Vertex Energy,Industrial Products,5779.22,West,Emily Taylor
TXN-00061,2024-02-07,Noble Transport,Industrial Products,5654.2,Midwest,Emily Taylor
TXN-00062,2024-02-08,BlueStar Energy,Safety & Compliance,2759.39,Midwest,Laura Wright
TXN-00063,2024-02-09,Falcon Mining,Industrial Products,7530.43,Midwest,Sarah Chen
TXN-00064,2024-02-10,Northwind Construction,Industrial Products,7881.41,West,Sarah Chen
TXN-00065,2024-02-10,Gateway Mining,Industrial Products,5476.02,West,Emily Taylor
TXN-00066,2024-02-10,Zephyr Transport,Industrial Products,32538.64,South,Karen Nelson
TXN-00067,2024-02-11,BlueStar Energy,Industrial Products,9252.7,Midwest,Sarah Chen
TXN-00068,2024-02-12,Evergreen Chemical,Technical Services,6184.14,Midwest,Amanda Clark
TXN-00069,2024-02-12,Gateway Mining,Industrial Products,15198.32,Midwest,Emily Taylor
TXN-00070,2024-02-12,Zephyr Transport,Industrial Products,5642.81,South,Amanda Clark
TXN-00071,2024-02-12,Windward Foods,Safety & Compliance,13818.52,Northeast,Emily Taylor
TXN-00072,2024-02-12,Zenith Manufacturing,Technical Services,33892.12,Midwest,Laura Wright
TXN-00073,2024-02-13,Canyon Construction,Industrial Products,9952.12,South,Amanda Clark
TXN-00074,2024-02-14,Beacon Medical,Technical Services,6486.37,Midwest,Amanda Clark
TXN-00075,2024-02-14,BlueStar Energy,Industrial Products,4345.93,South,Karen Nelson
TXN-00076,2024-02-15,Delta Healthcare,Industrial Products,2853.49,South,Karen Nelson
TXN-00077,2024-02-15,Liberty Healthcare,Technical Services,10806.94,South,Emily Taylor
TXN-00078,2024-02-15,Apex Manufacturing,Technical Services,6502.23,South,Amanda Clark
TXN-00079,2024-02-16,Harbor Foods,Safety & Compliance,18912.07,Northeast,Amanda Clark
TXN-00080,2024-02-16,Windward Foods,Industrial Products,11002.22,South,Amanda Clark
TXN-00081,2024-02-19,Gateway Mining,Safety & Compliance,8629.74,West,Laura Wright
TXN-00082,2024-02-19,Frontier Chemical,Industrial Products,4781.31,Midwest,Amanda Clark
TXN-00083,2024-02-20,Quest Manufacturing,Technical Services,11788.16,South,Laura Wright
TXN-00084,2024-02-20,Silverstone Medical,Safety & Compliance,5535.28,South,Sarah Chen
TXN-00085,2024-02-20,BlueStar Energy,Technical Services,13066.99,Midwest,Karen Nelson
TXN-00086,2024-02-20,Granite Industries,Safety & Compliance,7313.16,West,Sarah Chen
TXN-00087,2024-02-20,Zephyr Transport,Industrial Products,5426.71,Midwest,Karen Nelson
TXN-00088,2024-02-21,Zenith Manufacturing,Technical Services,12167.84,West,Amanda Clark
TXN-00089,2024-02-22,Gateway Mining,Technical Services,3579.51,Midwest,Amanda Clark
TXN-00090,2024-02-22,Eagle Transport,Technical Services,12799.8,South,Amanda Clark
TXN-00091,2024-02-24,Liberty Healthcare,Technical Services,50962.21,South,Karen Nelson
TXN-00092,2024-02-24,Pinnacle Energy,Industrial Products,14157.76,Midwest,Amanda Clark
TXN-00093,2024-02-24,Quantum Manufacturing,Industrial Products,2497.68,South,Sarah Chen
TXN-00094,2024-02-24,Eagle Transport,Technical Services,9338.49,West,Amanda Clark
TXN-00095,2024-02-24,BlueStar Energy,Industrial Products,2154.06,Northeast,Laura Wright
TXN-00096,2024-02-26,Evergreen Chemical,Technical Services,48462.22,Midwest,Amanda Clark
TXN-00097,2024-02-26,Jetstream Logistics,Safety & Compliance,4649.39,South,Amanda Clark
TXN-00098,2024-02-26,BlueStar Energy,Safety & Compliance,99821.65,West,Sarah Chen
TXN-00099,2024-02-27,Delta Healthcare,Safety & Compliance,5959.18,Midwest,Sarah Chen
TXN-00100,2024-02-27,Westfield Foods,Technical Services,2276.22,Midwest,Emily Taylor
TXN-00101,2024-02-27,Ridgeline Construction,Industrial Products,1344.08,South,Emily Taylor
TXN-00102,2024-02-27,Falcon Mining,Safety & Compliance,4013.03,Midwest,Karen Nelson
TXN-00103,2024-02-28,Falcon Mining,Safety & Compliance,10299.86,South,Sarah Chen
TXN-00104,2024-02-28,Jetstream Logistics,Technical Services,8817.94,South,Laura Wright
TXN-00105,2024-02-28,Titan Healthcare,Industrial Products,6817.04,South,Karen Nelson
TXN-00106,2024-02-29,Keller Construction,Technical Services,11197.86,Midwest,Amanda Clark
TXN-00107,2024-02-29,Maverick Chemical,Industrial Products,3181.11,South,Sarah Chen
TXN-00108,2024-03-02,Eagle Transport,Industrial Products,3479.87,Northeast,Amanda Clark
TXN-00109,2024-03-02,Apex Manufacturing,Safety & Compliance,10084.91,Midwest,Karen Nelson
TXN-00110,2024-03-02,Falcon Mining,Safety & Compliance,5624.96,West,Amanda Clark
TXN-00111,2024-03-02,BlueStar Energy,Safety & Compliance,16370.54,Northeast,Laura Wright
TXN-00112,2024-03-03,Gateway Mining,Technical Services,9590.01,South,Amanda Clark
TXN-00113,2024-03-05,Apex Manufacturing,Industrial Products,36026.23,Midwest,Laura Wright
TXN-00114,2024-03-06,Beacon Medical,Industrial Products,15621.23,Midwest,Karen Nelson
TXN-00115,2024-03-07,Zenith Manufacturing,Industrial Products,7658.21,West,Sarah Chen
TXN-00116,2024-03-07,Zephyr Transport,Industrial Products,9190.17,West,Laura Wright
TXN-00117,2024-03-07,Canyon Construction,Industrial Products,23512.62,Northeast,Karen Nelson
TXN-00118,2024-03-09,BlueStar Energy,Industrial Products,32372.24,South,Laura Wright
TXN-00119,2024-03-11,BlueStar Energy,Industrial Products,5987.12,South,Emily Taylor
TXN-00120,2024-03-13,Gateway Mining,Safety & Compliance,15059.21,Northeast,Emily Taylor
TXN-00121,2024-03-13,Olympus Mining,Industrial Products,7858.35,Midwest,Emily Taylor
TXN-00122,2024-03-13,Delta Healthcare,Safety & Compliance,7843.28,South,Amanda Clark
TXN-00123,2024-03-13,Harbor Foods,Technical Services,2703.67,Midwest,Emily Taylor
TXN-00124,2024-03-13,Apex Manufacturing,Industrial Products,4373.12,Midwest,Laura Wright
TXN-00125,2024-03-14,Highland Energy,Industrial Products,3856.0,South,Amanda Clark
TXN-00126,2024-03-16,Ironclad Industries,Industrial Products,11080.88,Midwest,Karen Nelson
TXN-00127,2024-03-17,Granite Industries,Industrial Products,15829.74,West,Sarah Chen
TXN-00128,2024-03-18,Ridgeline Construction,Technical Services,7511.55,South,Emily Taylor
TXN-00129,2024-03-19,Zenith Manufacturing,Safety & Compliance,13349.99,Northeast,Sarah Chen
TXN-00130,2024-03-19,Quest Manufacturing,Safety & Compliance,16152.18,West,Karen Nelson
TXN-00131,2024-03-19,Eagle Transport,Industrial Products,9737.14,Northeast,Karen Nelson
TXN-00132,2024-03-19,Keller Construction,Industrial Products,8607.12,Northeast,Laura Wright
TXN-00133,2024-03-19,Apex Manufacturing,Industrial Products,3600.62,West,Sarah Chen
TXN-00134,2024-03-20,Pinnacle Energy,Technical Services,1782.84,Midwest,Emily Taylor
TXN-00135,2024-03-20,Apex Manufacturing,Industrial Products,6460.83,Northeast,Laura Wright
TXN-00136,2024-03-22,Canyon Construction,Safety & Compliance,3401.12,Northeast,Sarah Chen
TXN-00137,2024-03-22,Ironclad Industries,Safety & Compliance,7112.23,South,Karen Nelson
TXN-00138,2024-03-22,Harbor Foods,Technical Services,5450.25,South,Emily Taylor
TXN-00139,2024-03-22,Eagle Transport,Safety & Compliance,7807.68,South,Emily Taylor
TXN-00140,2024-03-22,Ironclad Industries,Industrial Products,6223.38,Midwest,Karen Nelson
TXN-00141,2024-03-24,Canyon Construction,Safety & Compliance,5980.92,South,Karen Nelson
TXN-00142,2024-03-25,Jetstream Logistics,Safety & Compliance,16703.8,West,Sarah Chen
TXN-00143,2024-03-26,Jupiter Foods,Industrial Products,14552.31,South,Amanda Clark
TXN-00144,2024-03-27,Northwind Construction,Technical Services,4614.16,South,Emily Taylor
TXN-00145,2024-03-28,Apex Manufacturing,Safety & Compliance,5195.58,Northeast,Sarah Chen
TXN-00146,2024-03-29,Jetstream Logistics,Industrial Products,13810.66,Midwest,Karen Nelson
TXN-00147,2024-03-29,Apex Manufacturing,Technical Services,11996.09,South,Sarah Chen
TXN-00148,2024-03-30,Vertex Energy,Safety & Compliance,5998.7,Northeast,Karen Nelson
TXN-00149,2024-03-30,Canyon Construction,Technical Services,6719.76,West,Laura Wright
TXN-00150,2024-03-31,Dominion Transport,Industrial Products,34706.69,South,Karen Nelson
TXN-00151,2024-04-01,Windward Foods,Technical Services,5068.3,Northeast,Karen Nelson
TXN-00152,2024-04-02,Liberty Healthcare,Industrial Products,31765.14,West,Karen Nelson
TXN-00153,2024-04-03,Windward Foods,Technical Services,4163.97,Northeast,Emily Taylor
TXN-00154,2024-04-03,Maverick Chemical,Industrial Products,31494.75,Northeast,Karen Nelson
TXN-00155,2024-04-03,Cascade Power,Technical Services,19593.12,South,Amanda Clark
TXN-00156,2024-04-04,Xenon Industries,Technical Services,8497.07,Northeast,Emily Taylor
TXN-00157,2024-04-05,Summit Construction,Technical Services,5657.11,South,Sarah Chen
TXN-00158,2024-04-06,Xenon Industries,Technical Services,16964.59,South,Amanda Clark
TXN-00159,2024-04-07,Quantum Manufacturing,Technical Services,4373.57,Northeast,Sarah Chen
TXN-00160,2024-04-08,Yellowstone Energy,Technical Services,14544.56,South,Emily Taylor
TXN-00161,2024-04-08,Keystone Materials,Industrial Products,16032.95,Midwest,Emily Taylor
TXN-00162,2024-04-08,Delta Healthcare,Technical Services,7797.64,Northeast,Laura Wright
TXN-00163,2024-04-08,BlueStar Energy,Industrial Products,22900.82,Northeast,Karen Nelson
TXN-00164,2024-04-09,Eagle Transport,Industrial Products,15436.83,Midwest,Sarah Chen
TXN-00165,2024-04-09,Apex Manufacturing,Industrial Products,6545.67,South,Sarah Chen
TXN-00166,2024-04-09,Apex Manufacturing,Safety & Compliance,10156.87,West,Emily Taylor
TXN-00167,2024-04-10,Titan Healthcare,Technical Services,5451.1,West,Karen Nelson
TXN-00168,2024-04-11,Frontier Chemical,Technical Services,14543.75,South,Karen Nelson
TXN-00169,2024-04-11,Liberty Healthcare,Industrial Products,13725.27,South,Laura Wright
TXN-00170,2024-04-12,Pinnacle Energy,Technical Services,19349.05,West,Sarah Chen
TXN-00171,2024-04-12,BlueStar Energy,Technical Services,8367.64,Midwest,Amanda Clark
TXN-00172,2024-04-12,Eagle Transport,Technical Services,7078.46,Northeast,Sarah Chen
TXN-00173,2024-04-12,Evergreen Chemical,Technical Services,27983.42,Northeast,Karen Nelson
TXN-00174,2024-04-12,Vanguard Mining,Industrial Products,3316.72,South,Sarah Chen
TXN-00175,2024-04-12,Apex Manufacturing,Technical Services,3174.56,Northeast,Karen Nelson
TXN-00176,2024-04-12,Pinnacle Energy,Technical Services,16830.97,South,Emily Taylor
TXN-00177,2024-04-13,Gateway Mining,Technical Services,12366.82,South,Emily Taylor
TXN-00178,2024-04-16,Zephyr Transport,Industrial Products,14534.19,Midwest,Amanda Clark
TXN-00179,2024-04-16,Gateway Mining,Technical Services,5470.47,West,Sarah Chen
TXN-00180,2024-04-17,Xenon Industries,Industrial Products,32101.7,West,Laura Wright
TXN-00181,2024-04-17,Quantum Manufacturing,Industrial Products,69716.96,Midwest,Emily Taylor
TXN-00182,2024-04-17,Maverick Chemical,Industrial Products,2153.54,Midwest,Karen Nelson
TXN-00183,2024-04-18,Frontier Chemical,Industrial Products,6665.0,Northeast,Amanda Clark
TXN-00184,2024-04-19,Jetstream Logistics,Technical Services,5387.43,South,Sarah Chen
TXN-00185,2024-04-19,Frontier Chemical,Industrial Products,29098.99,South,Emily Taylor
TXN-00186,2024-04-19,Jupiter Foods,Safety & Compliance,1113.17,West,Sarah Chen
TXN-00187,2024-04-20,Titan Healthcare,Industrial Products,11947.9,West,Sarah Chen
TXN-00188,2024-04-22,Delta Healthcare,Industrial Products,32310.66,Northeast,Laura Wright
TXN-00189,2024-04-22,Zenith Manufacturing,Safety & Compliance,6598.2,Northeast,Sarah Chen
TXN-00190,2024-04-22,Eagle Transport,Technical Services,25539.24,South,Laura Wright
TXN-00191,2024-04-24,Quantum Manufacturing,Industrial Products,6143.87,Midwest,Amanda Clark
TXN-00192,2024-04-24,Northwind Construction,Industrial Products,10611.02,Midwest,Karen Nelson
TXN-00193,2024-04-24,Falcon Mining,Technical Services,1946.33,Northeast,Emily Taylor
TXN-00194,2024-04-25,Apex Manufacturing,Safety & Compliance,5588.62,West,Amanda Clark
TXN-00195,2024-04-26,Olympus Mining,Technical Services,3224.71,South,Amanda Clark
TXN-00196,2024-04-26,Apex Manufacturing,Safety & Compliance,17346.54,Northeast,Sarah Chen
TXN-00197,2024-04-26,Upland Chemical,Industrial Products,2533.25,Northeast,Laura Wright
TXN-00198,2024-04-27,Apex Manufacturing,Technical Services,38158.55,Northeast,Emily Taylor
TXN-00199,2024-04-28,BlueStar Energy,Technical Services,5954.79,South,Laura Wright
TXN-00200,2024-04-28,Cascade Power,Technical Services,38958.73,South,Sarah Chen
TXN-00201,2024-04-29,Ridgeline Construction,Industrial Products,12119.35,West,Laura Wright
TXN-00202,2024-04-30,Canyon Construction,Technical Services,14170.83,Northeast,Emily Taylor
TXN-00203,2024-04-30,Lakeview Medical,Technical Services,8794.97,Northeast,Emily Taylor
TXN-00204,2024-04-30,Gateway Mining,Technical Services,21960.15,West,Emily Taylor
TXN-00205,2024-05-01,Keystone Materials,Safety & Compliance,11233.03,Northeast,Karen Nelson
TXN-00206,2024-05-01,Upland Chemical,Industrial Products,5918.5,Midwest,Emily Taylor
TXN-00207,2024-05-01,Jupiter Foods,Safety & Compliance,10614.45,Midwest,Sarah Chen
TXN-00208,2024-05-01,Canyon Construction,Industrial Products,9736.54,Midwest,Sarah Chen
TXN-00209,2024-05-01,Canyon Construction,Safety & Compliance,11528.03,South,Karen Nelson
TXN-00210,2024-05-02,Yellowstone Energy,Safety & Compliance,3907.15,Midwest,Karen Nelson
TXN-00211,2024-05-02,Beacon Medical,Technical Services,8012.6,Midwest,Amanda Clark
TXN-00212,2024-05-03,Canyon Construction,Industrial Products,5963.75,Northeast,Karen Nelson
TXN-00213,2024-05-03,Eagle Transport,Safety & Compliance,4976.11,West,Emily Taylor
TXN-00214,2024-05-03,Imperial Manufacturing,Industrial Products,2752.56,South,Sarah Chen
TXN-00215,2024-05-04,Vertex Energy,Technical Services,8326.89,South,Emily Taylor
TXN-00216,2024-05-05,Eagle Transport,Technical Services,4990.96,Northeast,Amanda Clark
TXN-00217,2024-05-08,Frontier Chemical,Technical Services,6670.4,South,Emily Taylor
TXN-00218,2024-05-09,Frontier Chemical,Safety & Compliance,3147.83,West,Laura Wright
TXN-00219,2024-05-09,Windward Foods,Technical Services,16123.2,West,Emily Taylor
TXN-00220,2024-05-09,Meridian Power,Industrial Products,19150.79,South,Emily Taylor
TXN-00221,2024-05-10,Ironclad Industries,Industrial Products,12885.2,Northeast,Amanda Clark
TXN-00222,2024-05-10,Quest Manufacturing,Safety & Compliance,8808.46,South,Emily Taylor
TXN-00223,2024-05-11,Apex Manufacturing,Industrial Products,26871.94,South,Emily Taylor
TXN-00224,2024-05-11,Apex Manufacturing,Industrial Products,24502.15,South,Emily Taylor
TXN-00225,2024-05-11,Vanguard Mining,Industrial Products,2322.14,South,Sarah Chen
TXN-00226,2024-05-13,Ridgeline Construction,Industrial Products,15774.42,West,Laura Wright
TXN-00227,2024-05-13,Eagle Transport,Safety & Compliance,22295.89,South,Sarah Chen
TXN-00228,2024-05-14,Meridian Power,Industrial Products,10774.83,Northeast,Laura Wright
TXN-00229,2024-05-15,Keystone Materials,Industrial Products,6196.07,South,Emily Taylor
TXN-00230,2024-05-15,Meridian Power,Industrial Products,64246.15,West,Amanda Clark
TXN-00231,2024-05-16,Meridian Power,Technical Services,45297.06,West,Karen Nelson
TXN-00232,2024-05-16,Keystone Materials,Industrial Products,23351.72,Midwest,Emily Taylor
TXN-00233,2024-05-16,Xenon Industries,Technical Services,13337.97,Midwest,Karen Nelson
TXN-00234,2024-05-17,Meridian Power,Industrial Products,11746.47,Northeast,Sarah Chen
TXN-00235,2024-05-17,United Chemical,Safety & Compliance,4331.72,South,Amanda Clark
TXN-00236,2024-05-18,Redwood Energy,Industrial Products,7948.32,Midwest,Laura Wright
TXN-00237,2024-05-20,Noble Transport,Technical Services,6632.34,Northeast,Emily Taylor
TXN-00238,2024-05-20,Apex Manufacturing,Industrial Products,2606.77,Midwest,Amanda Clark
TXN-00239,2024-05-20,Maverick Chemical,Safety & Compliance,15677.58,South,Amanda Clark
TXN-00240,2024-05-21,Maverick Chemical,Industrial Products,32651.44,South,Laura Wright
TXN-00241,2024-05-22,Frontier Chemical,Technical Services,6382.77,Northeast,Amanda Clark
TXN-00242,2024-05-23,Lakeview Medical,Industrial Products,45749.0,Midwest,Sarah Chen
TXN-00243,2024-05-24,Delta Healthcare,Industrial Products,18835.35,South,Sarah Chen
TXN-00244,2024-05-24,Keystone Materials,Safety & Compliance,1981.11,Midwest,Sarah Chen
TXN-00245,2024-05-26,Frontier Chemical,Industrial Products,6825.34,South,Laura Wright
TXN-00246,2024-05-26,Apex Manufacturing,Industrial Products,6882.76,South,Sarah Chen
TXN-00247,2024-05-26,Ironclad Industries,Safety & Compliance,26231.0,Northeast,Amanda Clark
TXN-00248,2024-05-27,Keller Construction,Safety & Compliance,18661.39,Northeast,Amanda Clark
TXN-00249,2024-05-27,Frontier Chemical,Industrial Products,12146.46,South,Karen Nelson
TXN-00250,2024-05-27,Liberty Healthcare,Safety & Compliance,1639.38,South,Amanda Clark
TXN-00251,2024-05-27,Quantum Manufacturing,Safety & Compliance,4126.98,Northeast,Laura Wright
TXN-00252,2024-05-28,Atlas Construction,Industrial Products,3178.02,South,Emily Taylor
TXN-00253,2024-05-28,Pinnacle Energy,Safety & Compliance,8015.72,South,Karen Nelson
TXN-00254,2024-05-28,Titan Healthcare,Industrial Products,2302.43,South,Amanda Clark
TXN-00255,2024-05-28,Apex Manufacturing,Safety & Compliance,4713.29,South,Sarah Chen
TXN-00256,2024-05-29,Keystone Materials,Technical Services,6190.07,Midwest,Sarah Chen
TXN-00257,2024-05-29,Silverstone Medical,Safety & Compliance,12346.97,South,Emily Taylor
TXN-00258,2024-05-29,Apex Manufacturing,Safety & Compliance,6026.15,South,Emily Taylor
TXN-00259,2024-05-30,Ironclad Industries,Technical Services,12115.39,Northeast,Sarah Chen
TXN-00260,2024-05-30,Canyon Construction,Technical Services,7529.56,South,Emily Taylor
TXN-00261,2024-05-31,Evergreen Chemical,Industrial Products,11013.04,Midwest,Sarah Chen
TXN-00262,2024-05-31,Pinnacle Energy,Safety & Compliance,18075.54,West,Amanda Clark
TXN-00263,2024-05-31,Atlas Construction,Industrial Products,16301.73,Midwest,Amanda Clark
TXN-00264,2024-06-01,Eagle Transport,Technical Services,17227.48,Midwest,Sarah Chen
TXN-00265,2024-06-01,Atlas Construction,Safety & Compliance,82567.8,Northeast,Laura Wright
TXN-00266,2024-06-02,Frontier Chemical,Technical Services,10699.18,Midwest,Emily Taylor
TXN-00267,2024-06-03,Evergreen Chemical,Industrial Products,63076.29,Midwest,Amanda Clark
TXN-00268,2024-06-03,Upland Chemical,Technical Services,13522.31,South,Emily Taylor
TXN-00269,2024-06-03,Evergreen Chemical,Industrial Products,8720.93,South,Karen Nelson
TXN-00270,2024-06-04,Olympus Mining,Technical Services,5876.47,South,Sarah Chen
TXN-00271,2024-06-05,Apex Manufacturing,Industrial Products,32535.99,West,Laura Wright
TXN-00272,2024-06-05,Dominion Transport,Industrial Products,34619.23,Northeast,Karen Nelson
TXN-00273,2024-06-06,Apex Manufacturing,Technical Services,24080.53,Northeast,Karen Nelson
TXN-00274,2024-06-06,Liberty Healthcare,Industrial Products,15056.86,Midwest,Karen Nelson
TXN-00275,2024-06-07,Olympus Mining,Industrial Products,2916.75,Northeast,Sarah Chen
TXN-00276,2024-06-08,Eagle Transport,Industrial Products,2816.63,South,Amanda Clark
TXN-00277,2024-06-09,Atlas Construction,Safety & Compliance,21961.84,South,Sarah Chen
TXN-00278,2024-06-09,Jupiter Foods,Industrial Products,6223.15,West,Amanda Clark
TXN-00279,2024-06-09,Atlas Construction,Technical Services,14756.54,Midwest,Karen Nelson
TXN-00280,2024-06-10,BlueStar Energy,Safety & Compliance,4462.27,Northeast,Karen Nelson
TXN-00281,2024-06-10,Vanguard Mining,Safety & Compliance,29816.99,West,Laura Wright
TXN-00282,2024-06-11,Summit Construction,Technical Services,2362.95,South,Amanda Clark
TXN-00283,2024-06-12,Quest Manufacturing,Technical Services,2674.54,West,Karen Nelson
TXN-00284,2024-06-12,Ironclad Industries,Safety & Compliance,25730.94,Northeast,Emily Taylor
TXN-00285,2024-06-13,Jetstream Logistics,Industrial Products,7436.38,South,Laura Wright
TXN-00286,2024-06-13,Granite Industries,Safety & Compliance,9323.9,Northeast,Sarah Chen
TXN-00287,2024-06-13,Gateway Mining,Industrial Products,1155.04,Northeast,Laura Wright
TXN-00288,2024-06-14,Yellowstone Energy,Safety & Compliance,4396.14,South,Emily Taylor
TXN-00289,2024-06-15,Yellowstone Energy,Industrial Products,6905.32,Midwest,Amanda Clark
TXN-00290,2024-06-15,Quest Manufacturing,Technical Services,4113.3,West,Sarah Chen
TXN-00291,2024-06-17,Vanguard Mining,Industrial Products,23653.96,Midwest,Sarah Chen
TXN-00292,2024-06-17,Oakridge Chemical,Technical Services,39472.5,South,Amanda Clark
TXN-00293,2024-06-17,Canyon Construction,Industrial Products,5383.92,Northeast,Laura Wright
TXN-00294,2024-06-18,BlueStar Energy,Safety & Compliance,12121.57,South,Karen Nelson
TXN-00295,2024-06-19,Canyon Construction,Safety & Compliance,2386.11,South,Laura Wright
TXN-00296,2024-06-20,Falcon Mining,Safety & Compliance,6398.32,South,Laura Wright
TXN-00297,2024-06-20,Quantum Manufacturing,Technical Services,9445.28,South,Amanda Clark
TXN-00298,2024-06-20,Canyon Construction,Industrial Products,18688.89,Midwest,Emily Taylor
TXN-00299,2024-06-20,Yellowstone Energy,Safety & Compliance,22469.83,Northeast,Karen Nelson
TXN-00300,2024-06-22,Liberty Healthcare,Industrial Products,7517.49,West,Emily Taylor
TXN-00301,2024-06-24,Zephyr Transport,Industrial Products,2552.93,South,Emily Taylor
TXN-00302,2024-06-24,Liberty Healthcare,Industrial Products,27283.74,Northeast,Emily Taylor
